TheVoynichManuscript_chunk_113_1499105773483229_count_0_noise_-1_noise_type_White,2,12.72,13.8,ticket things,-1,True,0.7861,0.388,podcast_lecture,White,ticket,things,"[{'word_confidence': [['tickets', 0.26], ['since', 0.303]], 'confidence': 0.276, 'timestamps': [['tickets', 0.31, 0.85], ['since', 0.93, 1.26]], 'transcript': 'tickets since '}]",tickets,0.5677,since,0.4111
History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_21_1499105773483229_count_0_noise_9_noise_type_White,2,19.41,20.24,three legions,9,True,0.9413,0.3361,podcast_lecture,White,three,legions,"[{'word_confidence': [['three', 0.366], ['weeks', 0.132], ['and', 0.335]], 'confidence': 0.263, 'timestamps': [['three', 0.25, 0.47], ['weeks', 0.47, 0.75], ['and', 0.75, 0.94]], 'transcript': 'three weeks and '}]",three,0.5566,weeks,0.4477
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_54_1499105773483229_count_0_noise_-1_noise_type_White,2,16.78,17.78,rival claimants,-1,True,0.9797,0.4678,podcast_lecture,White,rival,claimants,"[{'word_confidence': [['rival', 0.418], ['cleaner', 0.209]], 'confidence': 0.303, 'timestamps': [['rival', 0.36, 0.73], ['cleaner', 0.73, 1.18]], 'transcript': 'rival cleaner '}]",rival,0.8387
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_54_1499105773483229_count_0_noise_0_noise_type_White,2,16.78,17.78,rival claimants,0,True,0.9797,0.4678,podcast_lecture,White,rival,claimants,"[{'word_confidence': [['rival', 0.414], ['claim', 0.303]], 'confidence': 0.358, 'timestamps': [['rival', 0.37, 0.73], ['claim', 0.73, 1.1]], 'transcript': 'rival claim '}]",rival,0.8749,claim,0.2832
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_54_1499105773483229_count_0_noise_10_noise_type_White,2,16.78,17.78,rival claimants,10,True,0.9797,0.4678,podcast_lecture,White,rival,claimants,"[{'word_confidence': [['rival', 0.71], ['claimant', 0.043]], 'confidence': 0.337, 'timestamps': [['rival', 0.36, 0.73], ['claimant', 0.73, 1.2]], 'transcript': 'rival claimant '}]",rival,0.976,claim,0.3055
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_54_1499105773483229_count_0_noise_12_noise_type_White,2,16.78,17.78,rival claimants,12,True,0.9797,0.4678,podcast_lecture,White,rival,claimants,"[{'word_confidence': [['rival', 0.604], ['claimant', 0.024]], 'confidence': 0.28, 'timestamps': [['rival', 0.36, 0.73], ['claimant', 0.73, 1.2]], 'transcript': 'rival claimant '}]",rival,0.9341,claim,0.2808
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_54_1499105773483229_count_0_noise_13_noise_type_White,2,16.78,17.78,rival claimants,13,True,0.9797,0.4678,podcast_lecture,White,rival,claimants,"[{'word_confidence': [['rival', 0.552], ['claim', 0.254]], 'confidence': 0.405, 'timestamps': [['rival', 0.36, 0.73], ['claim', 0.73, 1.09]], 'transcript': 'rival claim '}]",rival,0.9004,claim,0.2928
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_157_1499105773483229_count_0_noise_-1_noise_type_White,2,17.7,18.71,sensitive perform,-1,True,0.8819,0.3883,podcast_lecture,White,sensitive,perform,[]
FinneginsWake_chunk_108_1499105773483229_count_0_noise_-1_noise_type_White,2,14.42,15.28,purse Thorpe,-1,False,0.3864,0.8792,podcast_lecture,White,purse,Thorpe,"[{'word_confidence': [['first', 0.455], ['store', 0.529]], 'confidence': 0.499, 'timestamps': [['first', 0.23, 0.55], ['store', 0.55, 1.02]], 'transcript': 'first store '}]",first,0.6228,store,0.7504
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_0_noise_-1_noise_type_White,2,2.14,3.35,reduplicated cursing,-1,True,0.8451,0.4465,podcast_lecture,White,reduplicated,cursing,"[{'word_confidence': [['three', 0.735], ['duplicate', 0.341], ['it', 0.218], ['hurts', 0.218]], 'confidence': 0.372, 'timestamps': [['three', 0.21, 0.42], ['duplicate', 0.42, 0.98], ['it', 0.98, 1.11], ['hurts', 1.11, 1.36]], 'transcript': 'three duplicate it hurts '}]",three,0.8413,duplicated,0.4613
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_1_noise_-1_noise_type_White,2,6.49,7.56,sounds initiate,-1,True,0.8636,0.4381,podcast_lecture,White,sounds,initiate,"[{'word_confidence': [['sounds', 0.995], ['initiate', 0.121]], 'confidence': 0.44, 'timestamps': [['sounds', 0.31, 0.66], ['initiate', 0.66, 1.27]], 'transcript': 'sounds initiate '}]",sounds,0.995,initiate,0.3403
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_1_noise_0_noise_type_White,2,6.49,7.56,sounds initiate,0,True,0.8636,0.4381,podcast_lecture,White,sounds,initiate,"[{'word_confidence': [['sounds', 0.995], ['initiate', 0.122]], 'confidence': 0.44, 'timestamps': [['sounds', 0.31, 0.66], ['initiate', 0.66, 1.27]], 'transcript': 'sounds initiate '}]",sounds,0.9798,initiate,0.3498
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_1_noise_10_noise_type_White,2,6.49,7.56,sounds initiate,10,True,0.8636,0.4381,podcast_lecture,White,sounds,initiate,"[{'word_confidence': [['sounds', 0.991], ['initiate', 0.101]], 'confidence': 0.425, 'timestamps': [['sounds', 0.31, 0.66], ['initiate', 0.66, 1.27]], 'transcript': 'sounds initiate '}]",sounds,0.9976,a,0.5388,mission,0.2436
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_1_noise_20_noise_type_White,2,6.49,7.56,sounds initiate,20,True,0.8636,0.4381,podcast_lecture,White,sounds,initiate,"[{'word_confidence': [['sounds', 0.987], ['a', 0.306], ['missionary', 0.175]], 'confidence': 0.484, 'timestamps': [['sounds', 0.31, 0.66], ['a', 0.66, 0.71], ['missionary', 0.71, 1.25]], 'transcript': 'sounds a missionary '}]",sounds,0.9998,a,0.6843,missionary,0.5806
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_1_noise_25_noise_type_White,2,6.49,7.56,sounds initiate,25,True,0.8636,0.4381,podcast_lecture,White,sounds,initiate,"[{'word_confidence': [['sounds', 0.957], ['a', 0.259], ['missionary', 0.261]], 'confidence': 0.525, 'timestamps': [['sounds', 0.3, 0.66], ['a', 0.66, 0.71], ['missionary', 0.71, 1.25]], 'transcript': 'sounds a missionary '}]",sounds,0.9937,a,0.6088,missionary,0.6316
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_1_noise_27_noise_type_White,2,6.49,7.56,sounds initiate,27,True,0.8636,0.4381,podcast_lecture,White,sounds,initiate,"[{'word_confidence': [['sounds', 0.945], ['initiate', 0.176]], 'confidence': 0.464, 'timestamps': [['sounds', 0.3, 0.66], ['initiate', 0.66, 1.26]], 'transcript': 'sounds initiate '}]",sounds,0.9868,a,0.4912,missionary,0.4931
TerenceMckenna-TrueHallucinations05-16_chunk_92_1499105773483229_count_1_noise_28_noise_type_White,2,6.49,7.56,sounds initiate,28,True,0.8636,0.4381,podcast_lecture,White,sounds,initiate,"[{'word_confidence': [['sounds', 0.928], ['initiate', 0.245]], 'confidence': 0.501, 'timestamps': [['sounds', 0.3, 0.66], ['initiate', 0.66, 1.26]], 'transcript': 'sounds initiate '}]",sounds,0.9833,missionary,0.4394
History_4A_Fall_2007_UC_Berkeley_Lecture_08_Archaeology_Myth_and_History_the_Minoan_and_Mycenaean_Worlds_20460_chunk_57_1499105773483229_count_0_noise_-1_noise_type_White,2,11.16,12.49,function right,-1,True,0.9498,0.4418,podcast_lecture,White,function,right,"[{'word_confidence': [['function', 0.812]], 'confidence': 0.812, 'timestamps': [['function', 0.29, 0.75]], 'transcript': 'function '}]",function,0.9786,<eps>,0.7418
History_4A_Fall_2007_UC_Berkeley_Lecture_08_Archaeology_Myth_and_History_the_Minoan_and_Mycenaean_Worlds_20460_chunk_57_1499105773483229_count_0_noise_0_noise_type_White,2,11.16,12.49,function right,0,True,0.9498,0.4418,podcast_lecture,White,function,right,"[{'word_confidence': [['function', 0.801]], 'confidence': 0.801, 'timestamps': [['function', 0.2, 0.72]], 'transcript': 'function '}]",function,0.9841,<eps>,0.8486
History_4A_Fall_2007_UC_Berkeley_Lecture_08_Archaeology_Myth_and_History_the_Minoan_and_Mycenaean_Worlds_20460_chunk_57_1499105773483229_count_0_noise_10_noise_type_White,2,11.16,12.49,function right,10,True,0.9498,0.4418,podcast_lecture,White,function,right,"[{'word_confidence': [['function', 0.798]], 'confidence': 0.798, 'timestamps': [['function', 0.2, 0.71]], 'transcript': 'function '}]",function,0.9519
History_4A_Fall_2007_UC_Berkeley_Lecture_08_Archaeology_Myth_and_History_the_Minoan_and_Mycenaean_Worlds_20460_chunk_57_1499105773483229_count_0_noise_12_noise_type_White,2,11.16,12.49,function right,12,True,0.9498,0.4418,podcast_lecture,White,function,right,"[{'word_confidence': [['function', 0.791]], 'confidence': 0.791, 'timestamps': [['function', 0.22, 0.71]], 'transcript': 'function '}]",function,0.9441
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_-1_noise_type_White,2,13.37,14.66,jungle listening,-1,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.998], ['hot', 0.169], ['list', 0.258]], 'confidence': 0.499, 'timestamps': [['jungle', 0.3, 0.71], ['hot', 0.71, 1.06], ['list', 1.09, 1.46]], 'transcript': 'jungle hot list '}]",jungle,0.9999,hut,0.4597
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_0_noise_type_White,2,13.37,14.66,jungle listening,0,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.964], ['hot', 0.17], ['list', 0.295]], 'confidence': 0.495, 'timestamps': [['jungle', 0.31, 0.71], ['hot', 0.71, 1.06], ['list', 1.09, 1.46]], 'transcript': 'jungle hot list '}]",jungle,0.9984,hut,0.4623
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_10_noise_type_White,2,13.37,14.66,jungle listening,10,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.872], ['hot', 0.173], ['list', 0.342]], 'confidence': 0.479, 'timestamps': [['jungle', 0.31, 0.71], ['hot', 0.71, 1.06], ['list', 1.09, 1.46]], 'transcript': 'jungle hot list '}]",jungle,0.9859,hut,0.5077
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_20_noise_type_White,2,13.37,14.66,jungle listening,20,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.117], ['hut', 0.076], ['listen', 0.279]], 'confidence': 0.157, 'timestamps': [['jungle', 0.32, 0.71], ['hut', 0.71, 1.08], ['listen', 1.11, 1.49]], 'transcript': 'jungle hut listen '}]",go,0.3761
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_15_noise_type_White,2,13.37,14.66,jungle listening,15,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.268], ['hut', 0.076], ['listen', 0.327]], 'confidence': 0.228, 'timestamps': [['jungle', 0.31, 0.71], ['hut', 0.71, 1.07], ['listen', 1.1, 1.49]], 'transcript': 'jungle hut listen '}]",jungle,0.7651,hut,0.3763
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_17_noise_type_White,2,13.37,14.66,jungle listening,17,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.182], ['hut', 0.111], ['listen', 0.33]], 'confidence': 0.208, 'timestamps': [['jungle', 0.31, 0.71], ['hut', 0.71, 1.08], ['listen', 1.11, 1.49]], 'transcript': 'jungle hut listen '}]",jungle,0.5772
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_19_noise_type_White,2,13.37,14.66,jungle listening,19,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.115], ['hut', 0.057], ['listen', 0.304]], 'confidence': 0.159, 'timestamps': [['jungle', 0.32, 0.71], ['hut', 0.71, 1.08], ['listen', 1.11, 1.49]], 'transcript': 'jungle hut listen '}]",jungle,0.4117
TerenceMckenna-TrueHallucinations09-16_chunk_49_1499105773483229_count_0_noise_18_noise_type_White,2,13.37,14.66,jungle listening,18,True,0.9131,0.4297,podcast_lecture,White,jungle,listening,"[{'word_confidence': [['jungle', 0.153], ['hut', 0.096], ['listen', 0.331]], 'confidence': 0.193, 'timestamps': [['jungle', 0.31, 0.71], ['hut', 0.71, 1.08], ['listen', 1.11, 1.49]], 'transcript': 'jungle hut listen '}]",jungle,0.5379
TheVoynichManuscript_chunk_76_1499105773483229_count_0_noise_-1_noise_type_White,2,10.64,11.58,professor noble,-1,True,0.8626,0.4826,podcast_lecture,White,professor,noble,"[{'word_confidence': [['professor', 0.441], ['noble', 0.231]], 'confidence': 0.332, 'timestamps': [['professor', 0.3, 0.73], ['noble', 0.73, 1.19]], 'transcript': 'professor noble '}]",professor,0.6111,noble,0.5679
TheVoynichManuscript_chunk_76_1499105773483229_count_0_noise_0_noise_type_White,2,10.64,11.58,professor noble,0,True,0.8626,0.4826,podcast_lecture,White,professor,noble,"[{'word_confidence': [['professor', 0.742], ['noble', 0.327]], 'confidence': 0.528, 'timestamps': [['professor', 0.3, 0.73], ['noble', 0.73, 1.19]], 'transcript': 'professor noble '}]",professor,0.9418,noble,0.8794
TheVoynichManuscript_chunk_76_1499105773483229_count_0_noise_10_noise_type_White,2,10.64,11.58,professor noble,10,True,0.8626,0.4826,podcast_lecture,White,professor,noble,"[{'word_confidence': [['professor', 0.701], ['noble', 0.332]], 'confidence': 0.512, 'timestamps': [['professor', 0.3, 0.73], ['noble', 0.73, 1.18]], 'transcript': 'professor noble '}]",professor,0.933,noble,0.8809
TheVoynichManuscript_chunk_76_1499105773483229_count_0_noise_20_noise_type_White,2,10.64,11.58,professor noble,20,True,0.8626,0.4826,podcast_lecture,White,professor,noble,"[{'word_confidence': [['professor', 0.686], ['noble', 0.129]], 'confidence': 0.398, 'timestamps': [['professor', 0.3, 0.72], ['noble', 0.72, 1.17]], 'transcript': 'professor noble '}]",professor,0.8465,noble,0.7289
TheVoynichManuscript_chunk_76_1499105773483229_count_0_noise_30_noise_type_White,2,10.64,11.58,professor noble,30,True,0.8626,0.4826,podcast_lecture,White,professor,noble,"[{'word_confidence': [['professor', 0.582], ['noble', 0.055]], 'confidence': 0.318, 'timestamps': [['professor', 0.3, 0.73], ['noble', 0.73, 1.16]], 'transcript': 'professor noble '}]",professor,0.6801,noble,0.3528
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_33_1499105773483229_count_0_noise_-1_noise_type_White,2,5.52,6.31,ninety rolled,-1,True,0.9999,0.2412,podcast_lecture,White,ninety,rolled,"[{'word_confidence': [['ninety', 1.0], ['rolled', 0.119]], 'confidence': 0.652, 'timestamps': [['ninety', 0.21, 0.7], ['rolled', 0.7, 1.02]], 'transcript': 'ninety rolled '}]",ninety,1.0,rolled,0.3314
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_33_1499105773483229_count_0_noise_0_noise_type_White,2,5.52,6.31,ninety rolled,0,True,0.9999,0.2412,podcast_lecture,White,ninety,rolled,"[{'word_confidence': [['ninety', 0.818], ['rolled', 0.122]], 'confidence': 0.545, 'timestamps': [['ninety', 0.23, 0.71], ['rolled', 0.71, 1.02]], 'transcript': 'ninety rolled '}]",ninety,0.9602,rolled,0.3959
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_33_1499105773483229_count_0_noise_10_noise_type_White,2,5.52,6.31,ninety rolled,10,True,0.9999,0.2412,podcast_lecture,White,ninety,rolled,"[{'word_confidence': [['ninety', 0.815], ['rolled', 0.129]], 'confidence': 0.53, 'timestamps': [['ninety', 0.25, 0.7], ['rolled', 0.7, 1.02]], 'transcript': 'ninety rolled '}]",ninety,0.9271
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_33_1499105773483229_count_0_noise_15_noise_type_White,2,5.52,6.31,ninety rolled,15,True,0.9999,0.2412,podcast_lecture,White,ninety,rolled,"[{'word_confidence': [['nine', 0.127], ['zero', 0.077]], 'confidence': 0.096, 'timestamps': [['nine', 0.25, 0.52], ['zero', 0.52, 0.97]], 'transcript': 'nine zero '}]",ninety,0.7406
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_33_1499105773483229_count_0_noise_17_noise_type_White,2,5.52,6.31,ninety rolled,17,True,0.9999,0.2412,podcast_lecture,White,ninety,rolled,"[{'word_confidence': [['nine', 0.151], ['zero', 0.108]], 'confidence': 0.125, 'timestamps': [['nine', 0.25, 0.54], ['zero', 0.54, 0.97]], 'transcript': 'nine zero '}]",ninety,0.5483,zero,0.4398
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_33_1499105773483229_count_0_noise_19_noise_type_White,2,5.52,6.31,ninety rolled,19,True,0.9999,0.2412,podcast_lecture,White,ninety,rolled,"[{'word_confidence': [['nine', 0.514], ['zero', 0.086]], 'confidence': 0.259, 'timestamps': [['nine', 0.25, 0.54], ['zero', 0.54, 0.97]], 'transcript': 'nine zero '}]",nine,0.6765,zero,0.5798
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_33_1499105773483229_count_0_noise_18_noise_type_White,2,5.52,6.31,ninety rolled,18,True,0.9999,0.2412,podcast_lecture,White,ninety,rolled,"[{'word_confidence': [['nine', 0.211], ['zero', 0.111]], 'confidence': 0.151, 'timestamps': [['nine', 0.25, 0.54], ['zero', 0.54, 0.97]], 'transcript': 'nine zero '}]",nine,0.5247,zero,0.5091
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_136_1499105773483229_count_0_noise_-1_noise_type_White,2,5.5,6.37,leisure activity,-1,False,0.3862,0.7843,podcast_lecture,White,leisure,activity,"[{'word_confidence': [['Walter', 0.103], ['activity', 0.792]], 'confidence': 0.46, 'timestamps': [['Walter', 0.22, 0.64], ['activity', 0.64, 1.09]], 'transcript': 'Walter activity '}]",Walter,0.4635,activity,0.7312
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_136_1499105773483229_count_0_noise_0_noise_type_White,2,5.5,6.37,leisure activity,0,False,0.3862,0.7843,podcast_lecture,White,leisure,activity,"[{'word_confidence': [['warfare', 0.058], ['activity', 0.642]], 'confidence': 0.364, 'timestamps': [['warfare', 0.23, 0.64], ['activity', 0.64, 1.09]], 'transcript': 'warfare activity '}]",warfare,0.2846,activity,0.7678
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_136_1499105773483229_count_0_noise_5_noise_type_White,2,5.5,6.37,leisure activity,5,False,0.3862,0.7843,podcast_lecture,White,leisure,activity,"[{'word_confidence': [['warfare', 0.056], ['activity', 0.733]], 'confidence': 0.398, 'timestamps': [['warfare', 0.23, 0.64], ['activity', 0.64, 1.06]], 'transcript': 'warfare activity '}]",warfare,0.2638,activity,0.7017
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_136_1499105773483229_count_0_noise_7_noise_type_White,2,5.5,6.37,leisure activity,7,False,0.3862,0.7843,podcast_lecture,White,leisure,activity,"[{'word_confidence': [['warfare', 0.054], ['activity', 0.775]], 'confidence': 0.419, 'timestamps': [['warfare', 0.23, 0.64], ['activity', 0.64, 1.06]], 'transcript': 'warfare activity '}]",warfare,0.2818,activity,0.6715
History_4A_Fall_2007_UC_Berkeley_Lecture_27_State_and_Society_in_the_High_Roman_Empire_20479_chunk_136_1499105773483229_count_0_noise_9_noise_type_White,2,5.5,6.37,leisure activity,9,False,0.3862,0.7843,podcast_lecture,White,leisure,activity,"[{'word_confidence': [['warfare', 0.062], ['activity', 0.849]], 'confidence': 0.465, 'timestamps': [['warfare', 0.24, 0.64], ['activity', 0.64, 1.06]], 'transcript': 'warfare activity '}]",warfare,0.3214,activity,0.7102
FinneginsWake_chunk_157_1499105773483229_count_0_noise_-1_noise_type_White,2,17.28,17.92,issue defined,-1,False,0.4514,0.8303,podcast_lecture,White,issue,defined,"[{'word_confidence': [['if', 0.485], ['if', 0.426], ['if', 0.133], ['I', 0.129]], 'confidence': 0.27, 'timestamps': [['if', 0.23, 0.39], ['if', 0.39, 0.5], ['if', 0.5, 0.68], ['I', 0.68, 0.87]], 'transcript': 'if if if I '}]",fifty,0.3998,five,0.3985
History_4A_Fall_2007_UC_Berkeley_Lecture_24_Monarchy_at_Rome_The_Age_of_Augustus_20476_chunk_63_1499105773483229_count_0_noise_-1_noise_type_White,2,21.99,22.56,Republic there,-1,True,0.9832,0.417,podcast_lecture,White,Republic,there,"[{'word_confidence': [['Republic', 0.756]], 'confidence': 0.756, 'timestamps': [['Republic', 0.23, 0.7]], 'transcript': 'Republic '}]",Republic,0.6445
History_4A_Fall_2007_UC_Berkeley_Lecture_24_Monarchy_at_Rome_The_Age_of_Augustus_20476_chunk_63_1499105773483229_count_0_noise_0_noise_type_White,2,21.99,22.56,Republic there,0,True,0.9832,0.417,podcast_lecture,White,Republic,there,"[{'word_confidence': [['Republican', 0.161]], 'confidence': 0.161, 'timestamps': [['Republican', 0.23, 0.8]], 'transcript': 'Republican '}]",Republic,0.4693
